id,vid,vendor,pid,device,type,net,screen,height,width,driver,image,,,,,
d-04cb-0126,v-04cb,"Fuji Photo Film Co., Ltd",p-0126,FinePix A210 Zoom (DSC),,,,,,,,,,,,
d-04cb-0127,v-04cb,"Fuji Photo Film Co., Ltd",p-0127,FinePix A210 Zoom (PC CAM),,,,,,,,,,,,
d-04cb-0128,v-04cb,"Fuji Photo Film Co., Ltd",p-0128,FinePix A205(S) Zoom (DSC),,,,,,,,,,,,
d-04cb-0129,v-04cb,"Fuji Photo Film Co., Ltd",p-0129,FinePix A205(S) Zoom (PC CAM),,,,,,,,,,,,
d-04cb-012a,v-04cb,"Fuji Photo Film Co., Ltd",p-012a,FinePix F610 Zoom (DSC),,,,,,,,,,,,
d-04cb-012b,v-04cb,"Fuji Photo Film Co., Ltd",p-012b,FinePix Digital Camera 030513,,,,,,,,,,,,
d-04cb-012c,v-04cb,"Fuji Photo Film Co., Ltd",p-012c,FinePix S7000 Zoom (DSC),,,,,,,,,,,,
d-04cb-012d,v-04cb,"Fuji Photo Film Co., Ltd",p-012d,FinePix S7000 Zoom (PC CAM),,,,,,,,,,,,
d-04cb-012f,v-04cb,"Fuji Photo Film Co., Ltd",p-012f,FinePix Digital Camera 030731,,,,,,,,,,,,
d-04cb-0130,v-04cb,"Fuji Photo Film Co., Ltd",p-0130,FinePix S5000 Zoom (DSC),,,,,,,,,,,,
d-04cb-0131,v-04cb,"Fuji Photo Film Co., Ltd",p-0131,FinePix S5000 Zoom (PC CAM),,,,,,,,,,,,
d-04cb-013b,v-04cb,"Fuji Photo Film Co., Ltd",p-013b,FinePix Digital Camera 030722,,,,,,,,,,,,
d-04cb-013c,v-04cb,"Fuji Photo Film Co., Ltd",p-013c,FinePix S3000 Zoom (DSC),,,,,,,,,,,,
d-04cb-013d,v-04cb,"Fuji Photo Film Co., Ltd",p-013d,FinePix S3000 Zoom (PC CAM),,,,,,,,,,,,
d-04cb-013e,v-04cb,"Fuji Photo Film Co., Ltd",p-013e,FinePix F420 Zoom (DSC),,,,,,,,,,,,
d-04cb-013f,v-04cb,"Fuji Photo Film Co., Ltd",p-013f,FinePix F420 Zoom (PC CAM),,,,,,,,,,,,
d-04cb-0142,v-04cb,"Fuji Photo Film Co., Ltd",p-0142,FinePix S7000 Zoom (PTP),,,,,,,,,,,,
d-04cb-0148,v-04cb,"Fuji Photo Film Co., Ltd",p-0148,FinePix A330 Zoom (DSC),,,,,,,,,,,,
d-04cb-0149,v-04cb,"Fuji Photo Film Co., Ltd",p-0149,FinePix A330 Zoom (UVC),,,,,,,,,,,,
d-04cb-014a,v-04cb,"Fuji Photo Film Co., Ltd",p-014a,FinePix A330 Zoom (PTP),,,,,,,,,,,,
d-04cb-014b,v-04cb,"Fuji Photo Film Co., Ltd",p-014b,FinePix A340 Zoom (DSC),,,,,,,,,,,,
d-04cb-014c,v-04cb,"Fuji Photo Film Co., Ltd",p-014c,FinePix A340 Zoom (UVC),,,,,,,,,,,,
d-04cb-0159,v-04cb,"Fuji Photo Film Co., Ltd",p-0159,FinePix F710 Zoom (DSC),,,,,,,,,,,,
d-04cb-0165,v-04cb,"Fuji Photo Film Co., Ltd",p-0165,FinePix S3500 Zoom (DSC),,,,,,,,,,,,
d-04cb-0168,v-04cb,"Fuji Photo Film Co., Ltd",p-0168,FinePix E500 Zoom (DSC),,,,,,,,,,,,
d-04cb-0169,v-04cb,"Fuji Photo Film Co., Ltd",p-0169,FinePix E500 Zoom (UVC),,,,,,,,,,,,
d-04cb-016b,v-04cb,"Fuji Photo Film Co., Ltd",p-016b,FinePix E510 Zoom (DSC),,,,,,,,,,,,
d-04cb-016c,v-04cb,"Fuji Photo Film Co., Ltd",p-016c,FinePix E510 Zoom (PC CAM),,,,,,,,,,,,
d-04cb-016e,v-04cb,"Fuji Photo Film Co., Ltd",p-016e,FinePix S5500 Zoom (DSC),,,,,,,,,,,,
d-04cb-016f,v-04cb,"Fuji Photo Film Co., Ltd",p-016f,FinePix S5500 Zoom (UVC),,,,,,,,,,,,
d-04cb-0171,v-04cb,"Fuji Photo Film Co., Ltd",p-0171,FinePix E550 Zoom (DSC),,,,,,,,,,,,
d-04cb-0172,v-04cb,"Fuji Photo Film Co., Ltd",p-0172,FinePix E550 Zoom (UVC),,,,,,,,,,,,
d-04cb-0177,v-04cb,"Fuji Photo Film Co., Ltd",p-0177,FinePix F10 (DSC),,,,,,,,,,,,
d-04cb-0179,v-04cb,"Fuji Photo Film Co., Ltd",p-0179,Finepix F10 (PTP),,,,,,,,,,,,
d-04cb-0186,v-04cb,"Fuji Photo Film Co., Ltd",p-0186,FinePix S5200/S5600 Zoom (DSC),,,,,,,,,,,,
d-04cb-0188,v-04cb,"Fuji Photo Film Co., Ltd",p-0188,FinePix S5200/S5600 Zoom (PTP),,,,,,,,,,,,
d-04cb-018e,v-04cb,"Fuji Photo Film Co., Ltd",p-018e,FinePix S9500 Zoom (DSC),,,,,,,,,,,,
d-04cb-018f,v-04cb,"Fuji Photo Film Co., Ltd",p-018f,FinePix S9500 Zoom (PTP),,,,,,,,,,,,
d-04cb-0192,v-04cb,"Fuji Photo Film Co., Ltd",p-0192,FinePix E900 Zoom (DSC),,,,,,,,,,,,
d-04cb-0193,v-04cb,"Fuji Photo Film Co., Ltd",p-0193,FinePix E900 Zoom (PTP),,,,,,,,,,,,
d-04cb-019b,v-04cb,"Fuji Photo Film Co., Ltd",p-019b,FinePix F30 (PTP),,,,,,,,,,,,
d-04cb-01af,v-04cb,"Fuji Photo Film Co., Ltd",p-01af,FinePix A700 (PTP),,,,,,,,,,,,
d-04cb-01bf,v-04cb,"Fuji Photo Film Co., Ltd",p-01bf,FinePix F6000fd/S6500fd Zoom (PTP),,,,,,,,,,,,
d-04cb-01c0,v-04cb,"Fuji Photo Film Co., Ltd",p-01c0,FinePix F20 (PTP),,,,,,,,,,,,
d-04cb-01c1,v-04cb,"Fuji Photo Film Co., Ltd",p-01c1,FinePix F31fd (PTP),,,,,,,,,,,,
d-04cb-01c4,v-04cb,"Fuji Photo Film Co., Ltd",p-01c4,FinePix S5700 Zoom (PTP),,,,,,,,,,,,
d-04cb-01c5,v-04cb,"Fuji Photo Film Co., Ltd",p-01c5,FinePix F40fd (PTP),,,,,,,,,,,,
d-04cb-01c6,v-04cb,"Fuji Photo Film Co., Ltd",p-01c6,FinePix A820 Zoom (PTP),,,,,,,,,,,,
d-04cb-01d2,v-04cb,"Fuji Photo Film Co., Ltd",p-01d2,FinePix A800 Zoom (PTP),,,,,,,,,,,,
d-04cb-01d4,v-04cb,"Fuji Photo Film Co., Ltd",p-01d4,FinePix F50fd (PTP),,,,,,,,,,,,
d-04cb-01d5,v-04cb,"Fuji Photo Film Co., Ltd",p-01d5,FinePix F47 (PTP),,,,,,,,,,,,
d-04cb-01f7,v-04cb,"Fuji Photo Film Co., Ltd",p-01f7,FinePix J250 (PTP),,,,,,,,,,,,
d-04cb-01fd,v-04cb,"Fuji Photo Film Co., Ltd",p-01fd,A160,,,,,,,,,,,,
d-04cc-1122,v-04cc,ST-Ericsson,p-1122,Hub,,,,,,,,,,,,
d-04cc-1520,v-04cc,ST-Ericsson,p-1520,USB 2.0 Hub (Avocent KVM),,,,,,,,,,,,
d-04cc-1521,v-04cc,ST-Ericsson,p-1521,USB 2.0 Hub,,,,,,,,,,,,
d-04cc-1a62,v-04cc,ST-Ericsson,p-1a62,GW Instek GSP-830 Spectrum Analyzer (HID),,,,,,,,,,,,
d-04cc-2323,v-04cc,ST-Ericsson,p-2323,Ux500 serial debug port,,,,,,,,,,,,
d-04cc-2533,v-04cc,ST-Ericsson,p-2533,NFC device (PN533),,,,,,,,,,,,
d-04cc-8116,v-04cc,ST-Ericsson,p-8116,Camera,,,,,,,,,,,,
d-04ce-0002,v-04ce,ScanLogic Corp.,p-0002,SL11R-IDE IDE Bridge,,,,,,,,,,,,
d-04ce-0100,v-04ce,ScanLogic Corp.,p-0100,USB2PRN Printer Class,,,,,,,,,,,,
d-04ce-0300,v-04ce,ScanLogic Corp.,p-0300,Phantom 336CX - C3 scanner,,,,,,,,,,,,
d-04ce-04ce,v-04ce,ScanLogic Corp.,p-04ce,"SL11DEMO, VID: 0x4ce, PID: 0x4ce",,,,,,,,,,,,
d-04ce-07d1,v-04ce,ScanLogic Corp.,p-07d1,"SL11R, VID: 0x4ce, PID: 0x07D1",,,,,,,,,,,,
d-04cf-0800,v-04cf,"Myson Century, Inc.",p-0800,MTP800 Mass Storage Device,,,,,,,,,,,,
d-04cf-8810,v-04cf,"Myson Century, Inc.",p-8810,CS8810 Mass Storage Device,,,,,,,,,,,,
d-04cf-8811,v-04cf,"Myson Century, Inc.",p-8811,CS8811 Mass Storage Device,,,,,,,,,,,,
d-04cf-8813,v-04cf,"Myson Century, Inc.",p-8813,CS8813 Mass Storage Device,,,,,,,,,,,,
d-04cf-8818,v-04cf,"Myson Century, Inc.",p-8818,USB2.0 to ATAPI Bridge Controller,,,,,,,,,,,,
d-04cf-8819,v-04cf,"Myson Century, Inc.",p-8819,USB 2.0 SD/MMC Reader,,,,,,,,,,,,
d-04cf-9920,v-04cf,"Myson Century, Inc.",p-9920,CS8819A2-114 Mass Storage Device,,,,,,,,,,,,
d-04d2-0070,v-04d2,Altec Lansing Technologies,p-0070,ADA70 Speakers,,,,,,,,,,,,
d-04d2-0305,v-04d2,Altec Lansing Technologies,p-0305,Non-Compliant Audio Device,,,,,,,,,,,,
d-04d2-0311,v-04d2,Altec Lansing Technologies,p-0311,ADA-310 Speakers,,,,,,,,,,,,
d-04d2-2060,v-04d2,Altec Lansing Technologies,p-2060,Claritel-i750 - vp,,,,,,,,,,,,
d-04d2-ff05,v-04d2,Altec Lansing Technologies,p-ff05,ADA-305 Speakers,,,,,,,,,,,,
d-04d2-ff47,v-04d2,Altec Lansing Technologies,p-ff47,Lansing HID Audio Controls,,,,,,,,,,,,
d-04d2-ff49,v-04d2,Altec Lansing Technologies,p-ff49,Lansing HID Audio Controls,,,,,,,,,,,,
d-04d7-1be4,v-04d7,Oki Semiconductor,p-1be4,Bluetooth Device,,,,,,,,,,,,
d-04d8-0002,v-04d8,"Microchip Technology, Inc.",p-0002,PicoLCD 20x2,,,,,,,,,,,,
d-04d8-0003,v-04d8,"Microchip Technology, Inc.",p-0003,PICkit 2 Microcontroller Programmer,,,,,,,,,,,,
d-04d8-000a,v-04d8,"Microchip Technology, Inc.",p-000a,CDC RS-232 Emulation Demo,,,,,,,,,,,,
d-04d8-000b,v-04d8,"Microchip Technology, Inc.",p-000b,"PIC18F2550 (32K Flashable 10 Channel, 10 Bit A/D USB Microcontroller)",,,,,,,,,,,,
d-04d8-0032,v-04d8,"Microchip Technology, Inc.",p-0032,PICkit1,,,,,,,,,,,,
d-04d8-0033,v-04d8,"Microchip Technology, Inc.",p-0033,PICkit2,,,,,,,,,,,,
d-04d8-0036,v-04d8,"Microchip Technology, Inc.",p-0036,PICkit Serial Analyzer,,,,,,,,,,,,
d-04d8-00e0,v-04d8,"Microchip Technology, Inc.",p-00e0,PIC32 Starter Board,,,,,,,,,,,,
d-04d8-0a04,v-04d8,"Microchip Technology, Inc.",p-0a04,AGP LIN Serial Analyzer,,,,,,,,,,,,
d-04d8-8000,v-04d8,"Microchip Technology, Inc.",p-8000,In-Circuit Debugger,,,,,,,,,,,,
d-04d8-8001,v-04d8,"Microchip Technology, Inc.",p-8001,ICD2 in-circuit debugger,,,,,,,,,,,,
d-04d8-8101,v-04d8,"Microchip Technology, Inc.",p-8101,PIC24F Starter Kit,,,,,,,,,,,,
d-04d8-900a,v-04d8,"Microchip Technology, Inc.",p-900a,PICkit3,,,,,,,,,,,,
d-04d8-c001,v-04d8,"Microchip Technology, Inc.",p-c001,PicoLCD 20x4,,,,,,,,,,,,
d-04d8-fbba,v-04d8,"Microchip Technology, Inc.",p-fbba,DiscFerret Magnetic Disc Analyser (bootloader mode),,,,,,,,,,,,
d-04d8-fbbb,v-04d8,"Microchip Technology, Inc.",p-fbbb,DiscFerret Magnetic Disc Analyser (active mode),,,,,,,,,,,,
d-04d8-ffef,v-04d8,"Microchip Technology, Inc.",p-ffef,PICoPLC [APStech],,,,,,,,,,,,
d-04d9-0022,v-04d9,"Holtek Semiconductor, Inc.",p-0022,Portable Keyboard,,,,,,,,,,,,
d-04d9-048e,v-04d9,"Holtek Semiconductor, Inc.",p-048e,Optical Mouse,,,,,,,,,,,,
d-04d9-0499,v-04d9,"Holtek Semiconductor, Inc.",p-0499,Optical Mouse,,,,,,,,,,,,
d-04d9-1203,v-04d9,"Holtek Semiconductor, Inc.",p-1203,Keyboard,,,,,,,,,,,,
d-04d9-1400,v-04d9,"Holtek Semiconductor, Inc.",p-1400,PS/2 keyboard + mouse controller,,,,,,,,,,,,
d-04d9-1503,v-04d9,"Holtek Semiconductor, Inc.",p-1503,Shortboard Lefty,,,,,,,,,,,,
d-04d9-1603,v-04d9,"Holtek Semiconductor, Inc.",p-1603,Keyboard,,,,,,,,,,,,
d-04d9-2221,v-04d9,"Holtek Semiconductor, Inc.",p-2221,Keyboard,,,,,,,,,,,,
d-04da-0901,v-04da,Panasonic (Matsushita),p-0901,LS-120 Camera,,,,,,,,,,,,
d-04da-0912,v-04da,Panasonic (Matsushita),p-0912,SDR-S10,,,,,,,,,,,,
d-04da-0b01,v-04da,Panasonic (Matsushita),p-0b01,CD-R/RW Drive,,,,,,,,,,,,
d-04da-0b03,v-04da,Panasonic (Matsushita),p-0b03,SuperDisk 240MB,,,,,,,,,,,,
d-04da-0d01,v-04da,Panasonic (Matsushita),p-0d01,CD-R Drive KXL-840AN,,,,,,,,,,,,
d-04da-0d09,v-04da,Panasonic (Matsushita),p-0d09,CD-R Drive KXL-RW32AN,,,,,,,,,,,,
d-04da-0d0a,v-04da,Panasonic (Matsushita),p-0d0a,CD-R Drive KXL-CB20AN,,,,,,,,,,,,
d-04da-0d0d,v-04da,Panasonic (Matsushita),p-0d0d,CDRCB03,,,,,,,,,,,,
d-04da-0d0e,v-04da,Panasonic (Matsushita),p-0d0e,DVD-ROM & CD-R/RW,,,,,,,,,,,,
d-04da-0f40,v-04da,Panasonic (Matsushita),p-0f40,Printer,,,,,,,,,,,,
d-04da-1500,v-04da,Panasonic (Matsushita),p-1500,MFSUSB Driver,,,,,,,,,,,,
d-04da-1800,v-04da,Panasonic (Matsushita),p-1800,DY-WL10 802.11abgn Adapter [Broadcom BCM4323],,,,,,,,,,,,
d-04da-1b00,v-04da,Panasonic (Matsushita),p-1b00,MultiMediaCard,,,,,,,,,,,,
d-04da-2121,v-04da,Panasonic (Matsushita),p-2121,EB-VS6,,,,,,,,,,,,
d-04da-2316,v-04da,Panasonic (Matsushita),p-2316,DVC Mass Storage Device,,,,,,,,,,,,
d-04da-2317,v-04da,Panasonic (Matsushita),p-2317,DVC USB-SERIAL Driver for WinXP,,,,,,,,,,,,
d-04da-2318,v-04da,Panasonic (Matsushita),p-2318,NV-GS11/230/250 (webcam mode),,,,,,,,,,,,
d-04da-2319,v-04da,Panasonic (Matsushita),p-2319,NV-GS15 (webcam mode),,,,,,,,,,,,
d-04da-231a,v-04da,Panasonic (Matsushita),p-231a,NV-GS11/230/250 (DV mode),,,,,,,,,,,,
d-04da-231d,v-04da,Panasonic (Matsushita),p-231d,DVC Web Camera Device,,,,,,,,,,,,
d-04da-231e,v-04da,Panasonic (Matsushita),p-231e,DVC DV Stream Device,,,,,,,,,,,,
d-04da-2372,v-04da,Panasonic (Matsushita),p-2372,Lumix Camera,,,,,,,,,,,,
d-04da-2374,v-04da,Panasonic (Matsushita),p-2374,DMC-FZ18/FZ20,,,,,,,,,,,,
d-04da-2451,v-04da,Panasonic (Matsushita),p-2451,HDC-SD9,,,,,,,,,,,,
d-04da-2497,v-04da,Panasonic (Matsushita),p-2497,HDC-TM700,,,,,,,,,,,,
d-04da-250c,v-04da,Panasonic (Matsushita),p-250c,Gobi Wireless Modem (QDL mode),,,,,,,,,,,,
d-04da-250d,v-04da,Panasonic (Matsushita),p-250d,Gobi Wireless Modem,,,,,,,,,,,,
d-04da-3904,v-04da,Panasonic (Matsushita),p-3904,N5HBZ0000055 802.11abgn Wireless Adapter [Atheros AR7010],,,,,,,,,,,,
d-04da-3c04,v-04da,Panasonic (Matsushita),p-3c04,JT-P100MR-20 [ePassport Reader],,,,,,,,,,,,
d-04dd-13a6,v-04dd,Sharp Corp.,p-13a6,MFC2000,,,,,,,,,,,,
d-04dd-6006,v-04dd,Sharp Corp.,p-6006,AL-1216,,,,,,,,,,,,
d-04dd-6007,v-04dd,Sharp Corp.,p-6007,AL-1045,,,,,,,,,,,,
d-04dd-6008,v-04dd,Sharp Corp.,p-6008,AL-1255,,,,,,,,,,,,
d-04dd-6009,v-04dd,Sharp Corp.,p-6009,AL-1530CS,,,,,,,,,,,,
d-04dd-600a,v-04dd,Sharp Corp.,p-600a,AL-1540CS,,,,,,,,,,,,
d-04dd-600b,v-04dd,Sharp Corp.,p-600b,AL-1456,,,,,,,,,,,,
d-04dd-600c,v-04dd,Sharp Corp.,p-600c,AL-1555,,,,,,,,,,,,
d-04dd-600d,v-04dd,Sharp Corp.,p-600d,AL-1225,,,,,,,,,,,,
d-04dd-600e,v-04dd,Sharp Corp.,p-600e,AL-1551CS,,,,,,,,,,,,
d-04dd-600f,v-04dd,Sharp Corp.,p-600f,AR-122E,,,,,,,,,,,,
d-04dd-6010,v-04dd,Sharp Corp.,p-6010,AR-152E,,,,,,,,,,,,
d-04dd-6011,v-04dd,Sharp Corp.,p-6011,AR-157E,,,,,,,,,,,,
d-04dd-6012,v-04dd,Sharp Corp.,p-6012,SN-1045,,,,,,,,,,,,
d-04dd-6013,v-04dd,Sharp Corp.,p-6013,SN-1255,,,,,,,,,,,,
d-04dd-6014,v-04dd,Sharp Corp.,p-6014,SN-1456,,,,,,,,,,,,
d-04dd-6015,v-04dd,Sharp Corp.,p-6015,SN-1555,,,,,,,,,,,,
d-04dd-6016,v-04dd,Sharp Corp.,p-6016,AR-153E,,,,,,,,,,,,
d-04dd-6017,v-04dd,Sharp Corp.,p-6017,AR-122E N,,,,,,,,,,,,
d-04dd-6018,v-04dd,Sharp Corp.,p-6018,AR-153E N,,,,,,,,,,,,
d-04dd-6019,v-04dd,Sharp Corp.,p-6019,AR-152E N,,,,,,,,,,,,
d-04dd-601a,v-04dd,Sharp Corp.,p-601a,AR-157E N,,,,,,,,,,,,
d-04dd-601b,v-04dd,Sharp Corp.,p-601b,AL-1217,,,,,,,,,,,,
d-04dd-601c,v-04dd,Sharp Corp.,p-601c,AL-1226,,,,,,,,,,,,
d-04dd-601d,v-04dd,Sharp Corp.,p-601d,AR-123E,,,,,,,,,,,,
d-04dd-6021,v-04dd,Sharp Corp.,p-6021,IS01,,,,,,,,,,,,
d-04dd-7002,v-04dd,Sharp Corp.,p-7002,DVC Ver.1.0,,,,,,,,,,,,
d-04dd-7004,v-04dd,Sharp Corp.,p-7004,VE-CG40U Digital Still Camera,,,,,,,,,,,,
d-04dd-7005,v-04dd,Sharp Corp.,p-7005,VE-CG30 Digital Still Camera,,,,,,,,,,,,
d-04dd-7007,v-04dd,Sharp Corp.,p-7007,VL-Z7S Digital Camcorder,,,,,,,,,,,,
d-04dd-8004,v-04dd,Sharp Corp.,p-8004,Zaurus SL-5000D/SL-5500 PDA,,,,,,,,,,,,
d-04dd-8005,v-04dd,Sharp Corp.,p-8005,Zaurus A-300,,,,,,,,,,,,
d-04dd-8006,v-04dd,Sharp Corp.,p-8006,Zaurus SL-B500/SL-5600 PDA,,,,,,,,,,,,
d-04dd-8007,v-04dd,Sharp Corp.,p-8007,Zaurus C-700 PDA,,,,,,,,,,,,
d-04dd-9014,v-04dd,Sharp Corp.,p-9014,IM-DR80 Portable NetMD Player,,,,,,,,,,,,
d-04dd-9031,v-04dd,Sharp Corp.,p-9031,Zaurus C-750/C-760/C-860/SL-C3000 PDA,,,,,,,,,,,,
d-04dd-9032,v-04dd,Sharp Corp.,p-9032,Zaurus SL-6000,,,,,,,,,,,,
d-04dd-903a,v-04dd,Sharp Corp.,p-903a,GSM GPRS,,,,,,,,,,,,
d-04dd-9050,v-04dd,Sharp Corp.,p-9050,Zaurus C-860 PDA,,,,,,,,,,,,
d-04dd-9056,v-04dd,Sharp Corp.,p-9056,Viewcam Z,,,,,,,,,,,,
d-04dd-9073,v-04dd,Sharp Corp.,p-9073,AM-900,,,,,,,,,,,,
d-04dd-9074,v-04dd,Sharp Corp.,p-9074,GSM GPRS,,,,,,,,,,,,
d-04dd-90a9,v-04dd,Sharp Corp.,p-90a9,Sharp Composite,,,,,,,,,,,,
d-04dd-90d0,v-04dd,Sharp Corp.,p-90d0,USB-to-Serial Comm. Port,,,,,,,,,,,,
d-04dd-90f2,v-04dd,Sharp Corp.,p-90f2,Sharp 3G GSM USB Control,,,,,,,,,,,,
d-04dd-9120,v-04dd,Sharp Corp.,p-9120,WS004SH,,,,,,,,,,,,
d-04dd-9122,v-04dd,Sharp Corp.,p-9122,WS007SH,,,,,,,,,,,,
d-04dd-9123,v-04dd,Sharp Corp.,p-9123,W-ZERO3 ES Smartphone,,,,,,,,,,,,
d-04dd-91a3,v-04dd,Sharp Corp.,p-91a3,922SH Internet Machine,,,,,,,,,,,,
d-04e1-0201,v-04e1,"Iiyama North America, Inc.",p-0201,Monitor Hub,,,,,,,,,,,,
d-04e6-0001,v-04e6,"SCM Microsystems, Inc.",p-0001,E-USB ATA Bridge,,,,,,,,,,,,
d-04e6-0002,v-04e6,"SCM Microsystems, Inc.",p-0002,eUSCSI SCSI Bridge,,,,,,,,,,,,
d-04e6-0003,v-04e6,"SCM Microsystems, Inc.",p-0003,eUSB SmartMedia Card Reader,,,,,,,,,,,,
d-04e6-0005,v-04e6,"SCM Microsystems, Inc.",p-0005,eUSB SmartMedia/CompactFlash Card Reader,,,,,,,,,,,,
d-04e6-0006,v-04e6,"SCM Microsystems, Inc.",p-0006,eUSB SmartMedia Card Reader,,,,,,,,,,,,
d-04e6-0007,v-04e6,"SCM Microsystems, Inc.",p-0007,Hifd,,,,,,,,,,,,
d-04e6-0009,v-04e6,"SCM Microsystems, Inc.",p-0009,eUSB ATA/ATAPI Adapter,,,,,,,,,,,,
d-04e6-000a,v-04e6,"SCM Microsystems, Inc.",p-000a,eUSB CompactFlash Adapter,,,,,,,,,,,,
d-04e6-000b,v-04e6,"SCM Microsystems, Inc.",p-000b,eUSCSI Bridge,,,,,,,,,,,,
d-04e6-000c,v-04e6,"SCM Microsystems, Inc.",p-000c,eUSCSI Bridge,,,,,,,,,,,,
d-04e6-000d,v-04e6,"SCM Microsystems, Inc.",p-000d,Dazzle MS,,,,,,,,,,,,
d-04e6-0012,v-04e6,"SCM Microsystems, Inc.",p-0012,Dazzle SD/MMC,,,,,,,,,,,,
d-04e6-0101,v-04e6,"SCM Microsystems, Inc.",p-0101,eUSB ATA Bridge (Sony Spressa USB CDRW),,,,,,,,,,,,
d-04e6-0311,v-04e6,"SCM Microsystems, Inc.",p-0311,Dazzle DM-CF,,,,,,,,,,,,
d-04e6-0312,v-04e6,"SCM Microsystems, Inc.",p-0312,Dazzle DM-SD/MMC,,,,,,,,,,,,
d-04e6-0313,v-04e6,"SCM Microsystems, Inc.",p-0313,Dazzle SM,,,,,,,,,,,,
d-04e6-0314,v-04e6,"SCM Microsystems, Inc.",p-0314,Dazzle MS,,,,,,,,,,,,
d-04e6-0322,v-04e6,"SCM Microsystems, Inc.",p-0322,e-Film Reader-5,,,,,,,,,,,,
d-04e6-0325,v-04e6,"SCM Microsystems, Inc.",p-0325,eUSB ORCA Quad Reader,,,,,,,,,,,,
d-04e6-0327,v-04e6,"SCM Microsystems, Inc.",p-0327,Digital Media Reader,,,,,,,,,,,,
d-04e6-03fe,v-04e6,"SCM Microsystems, Inc.",p-03fe,DMHS2 DFU Adapter,,,,,,,,,,,,
d-04e6-0406,v-04e6,"SCM Microsystems, Inc.",p-0406,eUSB SmartDM Reader,,,,,,,,,,,,
d-04e6-04e6,v-04e6,"SCM Microsystems, Inc.",p-04e6,eUSB DFU Adapter,,,,,,,,,,,,
d-04e6-04e7,v-04e6,"SCM Microsystems, Inc.",p-04e7,STCII DFU Adapter,,,,,,,,,,,,
d-04e6-04e8,v-04e6,"SCM Microsystems, Inc.",p-04e8,eUSBDM DFU Adapter,,,,,,,,,,,,
d-04e6-04e9,v-04e6,"SCM Microsystems, Inc.",p-04e9,DM-E DFU Adapter,,,,,,,,,,,,
d-04e6-0500,v-04e6,"SCM Microsystems, Inc.",p-0500,Veridicom 5thSense Fingerprint Sensor and eUSB SmartCard,,,,,,,,,,,,
d-04e6-0701,v-04e6,"SCM Microsystems, Inc.",p-0701,DCS200 Loader Device,,,,,,,,,,,,
d-04e6-0702,v-04e6,"SCM Microsystems, Inc.",p-0702,DVD Creation Station 200,,,,,,,,,,,,
d-04e6-0703,v-04e6,"SCM Microsystems, Inc.",p-0703,DVC100 Loader Device,,,,,,,,,,,,
d-04e6-0704,v-04e6,"SCM Microsystems, Inc.",p-0704,Digital Video Creator 100,,,,,,,,,,,,
d-04e6-1001,v-04e6,"SCM Microsystems, Inc.",p-1001,SCR300 Smart Card Reader,,,,,,,,,,,,
d-04e6-1010,v-04e6,"SCM Microsystems, Inc.",p-1010,USBAT-2 CompactFlash Card Reader,,,,,,,,,,,,
d-04e6-1014,v-04e6,"SCM Microsystems, Inc.",p-1014,e-Film Reader-3,,,,,,,,,,,,
d-04e6-1020,v-04e6,"SCM Microsystems, Inc.",p-1020,USBAT ATA/ATAPI Adapter,,,,,,,,,,,,
d-04e6-2007,v-04e6,"SCM Microsystems, Inc.",p-2007,RSA SecurID ComboReader,,,,,,,,,,,,
d-04e6-2009,v-04e6,"SCM Microsystems, Inc.",p-2009,Citibank Smart Card Reader,,,,,,,,,,,,
d-04e6-200a,v-04e6,"SCM Microsystems, Inc.",p-200a,Reflex v.2 Smart Card Reader,,,,,,,,,,,,
d-04e6-200d,v-04e6,"SCM Microsystems, Inc.",p-200d,STR391 Reader,,,,,,,,,,,,
d-04e6-5111,v-04e6,"SCM Microsystems, Inc.",p-5111,SCR331-DI SmartCard Reader,,,,,,,,,,,,
d-04e6-5113,v-04e6,"SCM Microsystems, Inc.",p-5113,SCR333 SmartCard Reader,,,,,,,,,,,,
d-04e6-5114,v-04e6,"SCM Microsystems, Inc.",p-5114,SCR331-DI SmartCard Reader,,,,,,,,,,,,
d-04e6-5115,v-04e6,"SCM Microsystems, Inc.",p-5115,SCR335 SmartCard Reader,,,,,,,,,,,,
d-04e6-5116,v-04e6,"SCM Microsystems, Inc.",p-5116,SCR331-LC1 / SCR3310 SmartCard Reader,,,,,,,,,,,,
d-04e6-5117,v-04e6,"SCM Microsystems, Inc.",p-5117,SCR3320 - Smart Card Reader,,,,,,,,,,,,
d-04e6-5118,v-04e6,"SCM Microsystems, Inc.",p-5118,Expresscard SIM Card Reader,,,,,,,,,,,,
d-04e6-5119,v-04e6,"SCM Microsystems, Inc.",p-5119,SCR3340 - ExpressCard54 Smart Card Reader,,,,,,,,,,,,
d-04e6-511b,v-04e6,"SCM Microsystems, Inc.",p-511b,SmartCard Reader,,,,,,,,,,,,
d-04e6-511d,v-04e6,"SCM Microsystems, Inc.",p-511d,SCR3311 Smart Card Reader,,,,,,,,,,,,
d-04e6-5120,v-04e6,"SCM Microsystems, Inc.",p-5120,SCR331-DI SmartCard Reader,,,,,,,,,,,,
d-04e6-5121,v-04e6,"SCM Microsystems, Inc.",p-5121,SDI010 Smart Card Reader,,,,,,,,,,,,
d-04e6-5151,v-04e6,"SCM Microsystems, Inc.",p-5151,SCR338 Keyboard Smart Card Reader,,,,,,,,,,,,
